Rank	Genome_ID	Organism	BioSample_ID	Date	Location	Host	Similarity_score	p-value
1	SRR12375771	Pseudomonas aeruginosa	SAMN15716667	2016	China	-	99.63640	0.01412
2	GCA_003195315.1	Klebsiella pneumoniae	SAMN09266896	2017	USA	Homo sapiens	89.19075	0.03124
3	ERR712505	Pseudomonas aeruginosa	SAMEA3180268	2013	Germany	Homo sapiens	87.90933	0.03447
4	GCA_000412575.2	Klebsiella pneumoniae	SAMN01999147	-	-	-	87.73033	0.03494
5	GCA_002857385.1	Klebsiella pneumoniae	SAMN07793212	2016-12-17	USA	cow	87.39250	0.03586
6	GCA_002856715.1	Klebsiella pneumoniae	SAMN07793222	2017-01-02	USA	cow	87.30478	0.03610
7	SRR11187851	Staphylococcus aureus	SAMN14210367	2018	Russia	Homo_sapiens	86.48989	0.03843
8	GCA_002856065.1	Klebsiella pneumoniae	SAMN07793259	2017-01-31	USA	cow	86.48235	0.03845
9	GCA_010603545.1	Staphylococcus aureus	SAMN12251115	2016-02-15	USA	Homo sapiens	86.41214	0.03866
10	GCA_010587045.1	Acinetobacter baumannii	SAMN12250861	2015-08-24	USA	Homo sapiens	86.31765	0.03894
11	GCA_002855935.1	Klebsiella pneumoniae	SAMN07793285	2017-02-08	USA	cow	86.10209	0.03959
12	SRR13312490	Staphylococcus aureus	SAMN17170400	-	-	Homo sapiens	86.04557	0.03976
13	SRR13312491	Staphylococcus aureus	SAMN17170399	-	-	Homo sapiens	86.04557	0.03976
14	SRR13312492	Staphylococcus aureus	SAMN17170398	-	-	Homo sapiens	86.04557	0.03976
15	SRR13312493	Staphylococcus aureus	SAMN17170397	-	-	Homo sapiens	86.04557	0.03976
16	SRR13312494	Staphylococcus aureus	SAMN17170396	-	-	Homo sapiens	86.04557	0.03976
17	SRR13312496	Staphylococcus aureus	SAMN17170394	-	-	Homo sapiens	86.04557	0.03976
18	SRR13312497	Staphylococcus aureus	SAMN17170417	-	-	Homo sapiens	86.04557	0.03976
19	SRR13312498	Staphylococcus aureus	SAMN17170416	-	-	Homo sapiens	86.04557	0.03976
20	SRR13312501	Staphylococcus aureus	SAMN17170413	-	-	Homo sapiens	86.04557	0.03976
21	SRR13312504	Staphylococcus aureus	SAMN17170393	-	-	Homo sapiens	86.04557	0.03976
22	SRR13312507	Staphylococcus aureus	SAMN17170408	-	-	Homo sapiens	86.04557	0.03976
23	SRR13312508	Staphylococcus aureus	SAMN17170407	-	-	Homo sapiens	86.04557	0.03976
24	SRR13312509	Staphylococcus aureus	SAMN17170406	-	-	Homo sapiens	86.04557	0.03976
25	SRR13312510	Staphylococcus aureus	SAMN17170405	-	-	Homo sapiens	86.04557	0.03976
26	SRR13312511	Staphylococcus aureus	SAMN17170404	-	-	Homo sapiens	86.04557	0.03976
27	SRR13312513	Staphylococcus aureus	SAMN17170402	-	-	Homo sapiens	86.04557	0.03976
28	SRR13312515	Staphylococcus aureus	SAMN17170392	-	-	Homo sapiens	86.04557	0.03976
29	SRR5580756	Staphylococcus aureus	SAMN07139324	-	-	Homo sapiens	86.04557	0.03976
30	GCA_009912015.1	Staphylococcus aureus	SAMN11175637	-	-	Homo sapiens	86.03902	0.03978
31	GCA_004352055.1	Pseudomonas aeruginosa	SAMN10743692	2013	Italy	Homo sapiens	85.96550	0.04001
32	GCA_004352485.1	Pseudomonas aeruginosa	SAMN10743683	2013	Italy	Homo sapiens	85.79510	0.04054
33	GCA_008040525.1	Staphylococcus aureus	SAMN12570093	2018-02-06	South_Africa	Homo sapiens	85.78481	0.04057
34	GCA_008040555.1	Staphylococcus aureus	SAMN12570092	2017-12-20	South_Africa	Homo sapiens	85.78481	0.04057
35	GCA_010364445.1	Staphylococcus aureus	SAMN13948058	2011	USA	Equus ferus caballus	85.78481	0.04057
36	GCA_010364545.1	Staphylococcus aureus	SAMN13948043	2010	USA	Equus ferus caballus	85.78481	0.04057
37	GCA_011023595.1	Staphylococcus aureus	SAMN13979499	2013	Peru	Homo sapiens	85.78481	0.04057
38	GCA_014696415.1	Staphylococcus aureus	SAMN14559931	2016	Nigeria	Homo sapiens	85.78481	0.04057
39	GCA_014696535.1	Staphylococcus aureus	SAMN14550524	2016	Nigeria	Homo sapiens	85.78481	0.04057
40	GCA_014696835.1	Staphylococcus aureus	SAMN14598174	2016	Nigeria	Homo sapiens	85.78481	0.04057
41	GCA_015272895.1	Staphylococcus aureus	SAMN15665318	2017-04-28	Australia	Homo sapiens	85.78481	0.04057
42	GCA_015272955.1	Staphylococcus aureus	SAMN15665317	2017-04-28	Australia	Homo sapiens	85.78481	0.04057
43	GCA_015272965.1	Staphylococcus aureus	SAMN15665316	2017-04-28	Australia	Homo sapiens	85.78481	0.04057
